"source_url","source_name","published_at","title","text","notes"
"https://t.me/BFMnews/71503","Business FM Telegram","2026-07-12 15:11","Российские туристы застряли в аэропортах Китая из-за тайфуна","В Шанхае отменили больше тысячи рейсов, российский рейс перенесли на девять часов, отель пошел навстречу. Угол: как действовать при переносе, кто отвечает за отель и какие следы сохранить.","reviewed_scope:last_50_posts; туристы; рейс; перенос; отель; авиакомпания; сервис; деньги; компенсация; права; WATCHLIST candidate"
"https://t.me/BFMnews/71504","Business FM Telegram","2026-07-12 15:58","Опоздал на работу, потому что стоял за бензином","Профсоюзы допустили, что очередь на АЗС может быть уважительной причиной опоздания, а предприниматели спорят, простить ли сотрудника. Массовая ситуация: работник, работодатель, предупреждение, дисциплина.","reviewed_scope:last_50_posts; работник; работодатель; бензин; опоздание; спор; клиент; сервис; человеческая боль; NEAR-MISS"
"https://t.me/BFMnews/71506","Business FM Telegram","2026-07-12 16:59","S7 запустила сервис чаевых бортпроводникам","После рейса пассажиры смогут добровольно отправить чаевые бортпроводникам через кнопку в опросе. Компания говорит, что это не меняет систему оплаты труда. Угол: добровольные платежи, прозрачность и трудовые вопросы.","reviewed_scope:last_50_posts; сервис; платформа; оплата; работник; деньги; клиент; авиакомпания; прозрачность; WATCHLIST candidate"
"https://t.me/BFMnews/71507","Business FM Telegram","2026-07-12 17:24","Ограничения в аэропортах Внуково, Домодедово и Жуковский сняты","Росавиация сообщила о снятии ограничений в трех аэропортах. Прикладной угол слабый, но связан с переносами и сбитым расписанием пассажиров.","reviewed_scope:last_50_posts; аэропорт; ограничение; доступ; рейс; перенос; сервис; пассажир; weak"
"https://t.me/BFMnews/71508","Business FM Telegram","2026-07-12 18:29","Спор о мармеладе в виде червей и реакции Минпросвещения","Эксперт и депутат спорят с оценкой Минпросвещения о детском выборе сладостей и влиянии контента. Тема эмоциональная, но правовой и деловой боли для сценария мало.","reviewed_scope:last_50_posts; родители; дети; школа; спор; эмоция; weak legal fit"
"https://t.me/BFMnews/71512","Business FM Telegram","2026-07-12 20:01","Выиграл в Minecraft — поступил в вуз","Университет в США предлагает стипендию за игровые достижения, но кандидат должен объяснить связь навыков с учебой и поддерживать средний балл. Угол: условия получения денег и критерии отбора.","reviewed_scope:last_50_posts; образование; деньги; условия; критерии; отказ; слабая РФ переносимость; NEAR-MISS"
"https://t.me/BFMnews/71513","Business FM Telegram","2026-07-12 21:14","Пожар в баре Бангкока: погибли 27 человек","В баре произошел пожар, есть погибшие и пострадавшие, причина выясняется. Тема про безопасность заведения и ответственность, но для аватарного ролика нужен осторожный тон.","reviewed_scope:last_50_posts; безопасность; заведение; сервис; ответственность; пострадавшие; осторожно; WATCHLIST candidate"
"https://t.me/BFMnews/71494","Business FM Telegram","2026-07-12 12:21","Более 40 тысяч жителей остались без электричества из-за урагана","В Ленинградской области шквалистый ветер повалил деревья и ЛЭП, десятки тысяч жителей остались без электричества, сорвался автомобильный фестиваль. Угол: услуга, ущерб, отмена мероприятия, форс-мажор.","reviewed_scope:last_50_posts; электричество; услуга; доступ; ущерб; мероприятие; отмена; компенсация; сервис; WATCHLIST candidate"
"https://t.me/BFMnews/71446","Business FM Telegram","2026-07-11 08:23","Россия приостановила судоходство по Азово-Донскому каналу","Reuters сообщает, что приостановка судоходства затронула торговлю зерном; грузовики с зерном стоят в очередях, стоимость пшеницы выросла. Боль: логистика, поставки, сроки, деньги, зависимость бизнеса от ограничений.","reviewed_scope:last_50_posts; 27.9K views; бизнес; поставщик; логистика; ограничение доступа; сделка; деньги; сроки; клиент; платформа не нужна; WATCHLIST candidate"
"https://t.me/BFMnews/71453","Business FM Telegram","2026-07-11 10:15","Правительство обсуждает меры для стабилизации топливного рынка","Обсуждаются своповые операции с нефтепродуктами, демпфер для дизеля, причины закрытия АЗС ночью. Прикладной угол: топливо, логистика, стоимость доставки, работа бизнеса и доступность услуги.","reviewed_scope:last_50_posts; топливо; логистика; бизнес; сервис; доступ; поставщик; деньги; ограничения; WATCHLIST candidate"
"https://t.me/BFMnews/71456","Business FM Telegram","2026-07-11 10:50","Плодоовощная продукция дорожает вслед за топливом","Росстат зафиксировал резкий рост цен на топливо и последующее удорожание овощей. Угол: стоимость логистики, изменение цены для покупателя, но конкретного конфликта пока мало.","reviewed_scope:last_50_posts; покупатель; деньги; логистика; топливо; цены; клиент; weak conflict"
"https://t.me/BFMnews/71458","Business FM Telegram","2026-07-11 05:40","Задержан мужчина за незаконную перевозку топлива для перепродажи","В Ростовской области задержали человека за перевозку топлива для перепродажи по завышенным ценам. Тема про ажиотаж, перепродажу и риски покупки у сомнительного поставщика.","reviewed_scope:last_50_posts; топливо; поставщик; покупатель; деньги; риск; штраф; нарушение; слабый сценарный угол"
"https://t.me/BFMnews/71444","Business FM Telegram","2026-07-11 07:15","Касперская о спешно принятом законе об ИИ","Наталья Касперская критикует быстрый закон об ИИ: мало публичного обсуждения, неопределенные формулировки и перенос конкретики в подзаконные акты. Угол: бизнес не понимает правила игры.","reviewed_scope:last_50_posts; ИИ; закон; бизнес; платформа; правила; риск; неопределенность; compliance; WATCHLIST candidate"
"https://t.me/BFMnews/71442","Business FM Telegram","2026-07-11 06:17","Apple подала в суд на OpenAI из-за попытки украсть корпоративные секреты","По версии Apple, кандидатов просили раскрывать детали секретных проектов, а бывший сотрудник мог получить доступ к технической документации. Угол: NDA, коммерческая тайна, собеседование и репутационный риск.","reviewed_scope:last_50_posts; работник; работодатель; корпоративные секреты; доступ; документы; репутация; иск; бизнес; WATCHLIST candidate"
"https://t.me/BFMnews/71448","Business FM Telegram","2026-07-11 09:22","Дуров раскритиковал европейский закон Chat Control","Павел Дуров прокомментировал одобрение закона о сканировании мессенджеров жителей ЕС. Угол: приватность переписки, доступ к данным и страх цифрового контроля.","reviewed_scope:last_50_posts; платформа; оператор; доступ; данные; репутация; ограничения; приватность; WATCHLIST candidate"
"https://t.me/BFMnews/71450","Business FM Telegram","2026-07-11 09:57","Ураган повредил инфраструктуру и зооприют в регионах","Ураган повалил деревья, повредил линии электропередачи, срывал крыши и разрушил часть вольеров зооприюта. Угол: ущерб имуществу, услуги, ответственность и фиксация последствий.","reviewed_scope:last_50_posts; ущерб; имущество; услуга; компенсация; собственник; сервис; WATCHLIST candidate"
"https://t.me/BFMnews/71471","Business FM Telegram","2026-07-11 11:30","Крым: бензин в наличии, очереди небольшие, но есть нюанс с ценами","В Крыму началась свободная продажа топлива на 99 АЗС, но тема сопровождается вопросами цены и доступности. Угол слабее, чем отказ по схеме чет-нечет.","reviewed_scope:last_50_posts; топливо; деньги; клиент; сервис; цены; NEAR-MISS"
"https://t.me/BFMnews/71340","Business FM Telegram","2026-07-10 07:20","Дефицит дизеля ставит под угрозу сбор урожая","Аграрии предупреждают, что из-за нехватки дизеля хозяйства могут не успеть собрать урожай вовремя. Это уже не бытовое неудобство, а риск остановки работы, потери денег, поставок, контрактов и продуктов на рынке.","reviewed_scope:deeper_bfm_posts; serious_loss; бизнес; поставщик; клиент; работа; деньги; сделка; сроки; дизель; топливо; логистика; потеря урожая; потеря контрактов; правовая позиция; WATCHLIST after strict filter; сильная макро-боль, но нужен конкретный герой/потеря"
"https://t.me/BFMnews/71424","Business FM Telegram","2026-07-10 16:15","Работу снова приходится искать: бизнесу нужно меньше новых людей","За первое полугодие работодатели сократили число вакансий почти на 20%, а число резюме выросло. Боль серьезная: риск потери работы, падение переговорной позиции кандидата, конкуренция за место и доход.","reviewed_scope:deeper_bfm_posts; работа; работник; работодатель; потеря работы; доход; клиент не нужен; репутация кандидата; серьезная человеческая боль; WATCHLIST"
"https://t.me/BFMnews/71421","Business FM Telegram","2026-07-10 15:50","С иностранной сим-картой не удастся открыть заблокированные ресурсы через роуминг","Эксперт объясняет, что иностранные сим-карты в роуминге не дают россиянам доступ к заблокированным ресурсам. Угол: человек купил сервис/связь, но доступ к нужным цифровым сервисам все равно ограничен.","reviewed_scope:deeper_bfm_posts; оператор; связь; доступ; ограничение доступа; сервис; клиент; деньги; цифровые права; WATCHLIST not SCRIPT-NOW"
"https://t.me/BFMnews/71381","Business FM Telegram","2026-07-09 18:10","Поступление в десятый класс — для избранных","Родители выпускников девятых классов жалуются, что дети не могут попасть в старшую школу. Формальная возможность есть, но на практике семья рискует потерять образовательную траекторию и время.","reviewed_scope:deeper_bfm_posts; родители; дети; школа; отказ; доступ; права; жалоба; правовая позиция; серьезная человеческая боль; WATCHLIST"
"https://t.me/BFMnews/71403","Business FM Telegram","2026-07-10 12:25","Компаниям рекомендовано перейти на удаленку из-за дефицита бензина","В Новосибирской области из-за дефицита бензина компаниям рекомендовали перейти на удаленную работу. Это влияет на работу бизнеса, сотрудников, сроки, клиентов и организацию услуг.","reviewed_scope:deeper_bfm_posts; бизнес; работник; работодатель; клиент; сервис; топливо; ограничение доступа; работа; сроки; WATCHLIST"
"https://t.me/BFMnews/71348","Business FM Telegram","2026-07-10 08:35","ФНС против налоговых туристов","Налоговые органы усилили контроль за миграцией бизнеса в регионы с пониженными ставками УСН. Риск для бизнеса: доначисления, проверки, потеря налоговой позиции и спор с ФНС.","reviewed_scope:deeper_bfm_posts; ФНС; налог; бизнес; деньги; штраф; проверка; правовая позиция; репутационный риск; сделка; WATCHLIST"
"https://t.me/BFMnews/71359","Business FM Telegram","2026-07-10 10:55","Новому российскому самолету запретили летать в дождь, жару и холод","Росавиация выдала сертификат на Ил-114-300 с серьезными погодными ограничениями. Для аудитории это скорее системная новость, но есть угол про безопасность, ограничения эксплуатации и ответственность.","reviewed_scope:deeper_bfm_posts; ограничения; доступ; безопасность; сервис; права пассажира; weak for avatar; WATCHLIST"
"https://t.me/BFMnews/71323","Business FM Telegram","2026-07-09 13:20","Яндекс Go и Яндекс Заправки стали показывать наличие топлива и очереди на АЗС","Сервисы начали показывать данные о наличии топлива и очередях на АЗС. Прикладной угол: платформа становится источником решения, но если данные ошибаются, водитель теряет время, деньги и рабочий маршрут.","reviewed_scope:deeper_bfm_posts; платформа; сервис; Яндекс; заправка; клиент; доступ; топливо; работа; деньги; WATCHLIST"
"https://t.me/BFMnews/71422","Business FM Telegram","2026-07-10 15:55","Бензин по 170 рублей и очереди на АЗС","Регионы переживают дефицит топлива: очереди, рост цен, сложности для поездок и бизнеса. Сильная боль есть, но для сценария нужен конкретный человек с потерей денег, работы или сделки.","reviewed_scope:deeper_bfm_posts; топливо; деньги; клиент; сервис; бизнес; работа; очереди; серьезная боль; WATCHLIST"
"https://t.me/BFMnews/71406","Business FM Telegram","2026-07-10 12:40","Смерч в Башкирии: дома остались без света и газа","Торнадо снес крыши, дома остались без света, в части домов пропал газ. Угол: ущерб, коммунальные услуги, фиксация последствий и компенсации, но сценарно слабее без конкретного отказа сервиса.","reviewed_scope:deeper_bfm_posts; ущерб; дом; собственник; газ; электричество; услуга; компенсация; доступ; WATCHLIST"
"https://t.me/BFMnews/71362","Business FM Telegram","2026-07-10 11:30","Есть ли предел у алиментов?","Конституционный суд принял жалобу футболиста Матвея Сафонова о норме, по которой на одного ребенка может взыскиваться четверть дохода. Тема серьезная, но celebrity/legal-first, поэтому не SCRIPT-NOW для текущей стратегии.","reviewed_scope:deeper_bfm_posts; алименты; деньги; права; суд; правовая позиция; celebrity risk; WATCHLIST not SCRIPT-NOW"
